Provincias	Grupos de edad	Periodo	Total
12 Castellón/Castelló	De 45 a 49 años	2012	0,78
12 Castellón/Castelló	De 45 a 49 años	2011	0,75
12 Castellón/Castelló	De 45 a 49 años	2010	0,43
12 Castellón/Castelló	De 45 a 49 años	2009	0,62
12 Castellón/Castelló	De 45 a 49 años	2008	0,59
12 Castellón/Castelló	De 45 a 49 años	2007	0,36
12 Castellón/Castelló	De 45 a 49 años	2006	1,02
12 Castellón/Castelló	De 45 a 49 años	2005	0,56
12 Castellón/Castelló	De 45 a 49 años	2004	0,06
12 Castellón/Castelló	De 45 a 49 años	2003	0,25
12 Castellón/Castelló	De 45 a 49 años	2002	0,33
12 Castellón/Castelló	De 45 a 49 años	2001	0,54
12 Castellón/Castelló	De 45 a 49 años	2000	0,41
12 Castellón/Castelló	De 45 a 49 años	1999	0,28
12 Castellón/Castelló	De 45 a 49 años	1998	0,21
12 Castellón/Castelló	De 45 a 49 años	1997	0,21
12 Castellón/Castelló	De 45 a 49 años	1996	0,21
12 Castellón/Castelló	De 45 a 49 años	1995	0,22
12 Castellón/Castelló	De 45 a 49 años	1994	0,29
12 Castellón/Castelló	De 45 a 49 años	1993	0,52
12 Castellón/Castelló	De 45 a 49 años	1992	0,45
12 Castellón/Castelló	De 45 a 49 años	1991	0,16
12 Castellón/Castelló	De 45 a 49 años	1990	0,31
12 Castellón/Castelló	De 45 a 49 años	1989	0,16
12 Castellón/Castelló	De 45 a 49 años	1988	0,7
12 Castellón/Castelló	De 45 a 49 años	1987	0,54
12 Castellón/Castelló	De 45 a 49 años	1986	0,61
12 Castellón/Castelló	De 45 a 49 años	1985	0,26
12 Castellón/Castelló	De 45 a 49 años	1984	0,75
12 Castellón/Castelló	De 45 a 49 años	1983	0,62
12 Castellón/Castelló	De 45 a 49 años	1982	0,75
12 Castellón/Castelló	De 45 a 49 años	1981	0,74
12 Castellón/Castelló	De 45 a 49 años	1980	1,26
12 Castellón/Castelló	De 45 a 49 años	1979	0,95
12 Castellón/Castelló	De 45 a 49 años	1978	0,96
12 Castellón/Castelló	De 45 a 49 años	1977	1,04
12 Castellón/Castelló	De 45 a 49 años	1976	0,81
12 Castellón/Castelló	De 45 a 49 años	1975	0,82
12 Castellón/Castelló	50 y más años	2023	1,22
12 Castellón/Castelló	50 y más años	2022	0,21
12 Castellón/Castelló	50 y más años	2021	0,65
12 Castellón/Castelló	50 y más años	2020	0,85
12 Castellón/Castelló	50 y más años	2019	0,21
12 Castellón/Castelló	50 y más años	2018	0,64
12 Castellón/Castelló	50 y más años	2017	0,22
12 Castellón/Castelló	50 y más años	2016	0,23
12 Castellón/Castelló	50 y más años	2015	0
12 Castellón/Castelló	50 y más años	2014	0,47
12 Castellón/Castelló	50 y más años	2013	0,24
12 Castellón/Castelló	50 y más años	2012	0,24
12 Castellón/Castelló	50 y más años	2011	0,48
12 Castellón/Castelló	50 y más años	2010	0,49
12 Castellón/Castelló	50 y más años	2009	0,26
12 Castellón/Castelló	50 y más años	2008	0,53
12 Castellón/Castelló	50 y más años	2007	0,29
12 Castellón/Castelló	50 y más años	2006	0
12 Castellón/Castelló	50 y más años	2005	0,31
12 Castellón/Castelló	50 y más años	2004	0
12 Castellón/Castelló	50 y más años	2003	0
12 Castellón/Castelló	50 y más años	2002	0
12 Castellón/Castelló	50 y más años	2001	0
12 Castellón/Castelló	50 y más años	2000	0,35
12 Castellón/Castelló	50 y más años	1999	0
12 Castellón/Castelló	50 y más años	1998	0
12 Castellón/Castelló	50 y más años	1997	0,38
12 Castellón/Castelló	50 y más años	1996	0,37
12 Castellón/Castelló	50 y más años	1995	0
12 Castellón/Castelló	50 y más años	1994	0
12 Castellón/Castelló	50 y más años	1993	0
12 Castellón/Castelló	50 y más años	1992	0
12 Castellón/Castelló	50 y más años	1991	0
12 Castellón/Castelló	50 y más años	1990	0
12 Castellón/Castelló	50 y más años	1989	0
12 Castellón/Castelló	50 y más años	1988	0
12 Castellón/Castelló	50 y más años	1987	0
12 Castellón/Castelló	50 y más años	1986	0,39
12 Castellón/Castelló	50 y más años	1985	0
12 Castellón/Castelló	50 y más años	1984	0
12 Castellón/Castelló	50 y más años	1983	0
12 Castellón/Castelló	50 y más años	1982	0,38
12 Castellón/Castelló	50 y más años	1981	0
12 Castellón/Castelló	50 y más años	1980	0
12 Castellón/Castelló	50 y más años	1979	0,74
12 Castellón/Castelló	50 y más años	1978	0,37
12 Castellón/Castelló	50 y más años	1977	0,38
12 Castellón/Castelló	50 y más años	1976	0,39
12 Castellón/Castelló	50 y más años	1975	0,39
13 Ciudad Real	De 10 a 14 años	2023	0,32
13 Ciudad Real	De 10 a 14 años	2022	0,16
13 Ciudad Real	De 10 a 14 años	2021	0,32
13 Ciudad Real	De 10 a 14 años	2020	0,16
13 Ciudad Real	De 10 a 14 años	2019	0,24
13 Ciudad Real	De 10 a 14 años	2018	0,08
13 Ciudad Real	De 10 a 14 años	2017	0,41
13 Ciudad Real	De 10 a 14 años	2016	0,25
13 Ciudad Real	De 10 a 14 años	2015	0,08
13 Ciudad Real	De 10 a 14 años	2014	0,08
13 Ciudad Real	De 10 a 14 años	2013	0,24
13 Ciudad Real	De 10 a 14 años	2012	0,08
13 Ciudad Real	De 10 a 14 años	2011	0,24
13 Ciudad Real	De 10 a 14 años	2010	0,23
13 Ciudad Real	De 10 a 14 años	2009	0,31
13 Ciudad Real	De 10 a 14 años	2008	0,38
13 Ciudad Real	De 10 a 14 años	2007	0,3
13 Ciudad Real	De 10 a 14 años	2006	0,07
13 Ciudad Real	De 10 a 14 años	2005	0,14
13 Ciudad Real	De 10 a 14 años	2004	0,21
13 Ciudad Real	De 10 a 14 años	2003	0,07
13 Ciudad Real	De 10 a 14 años	2002	0,28
13 Ciudad Real	De 10 a 14 años	2001	0
13 Ciudad Real	De 10 a 14 años	2000	0,14
13 Ciudad Real	De 10 a 14 años	1999	0
13 Ciudad Real	De 10 a 14 años	1998	0,07
13 Ciudad Real	De 10 a 14 años	1997	0,07
13 Ciudad Real	De 10 a 14 años	1996	0,07
13 Ciudad Real	De 10 a 14 años	1995	0,06
13 Ciudad Real	De 10 a 14 años	1994	0
13 Ciudad Real	De 10 a 14 años	1993	0,06
13 Ciudad Real	De 10 a 14 años	1992	0,18
13 Ciudad Real	De 10 a 14 años	1991	0,12
13 Ciudad Real	De 10 a 14 años	1990	0,17
13 Ciudad Real	De 10 a 14 años	1989	0,06
13 Ciudad Real	De 10 a 14 años	1988	0,11
13 Ciudad Real	De 10 a 14 años	1987	0,05
13 Ciudad Real	De 10 a 14 años	1986	0,11
13 Ciudad Real	De 10 a 14 años	1985	0,11
13 Ciudad Real	De 10 a 14 años	1984	0,16
13 Ciudad Real	De 10 a 14 años	1983	0,05
13 Ciudad Real	De 10 a 14 años	1982	0,05
13 Ciudad Real	De 10 a 14 años	1981	0,24
13 Ciudad Real	De 10 a 14 años	1980	0,05
13 Ciudad Real	De 10 a 14 años	1979	0,14
13 Ciudad Real	De 10 a 14 años	1978	0
13 Ciudad Real	De 10 a 14 años	1977	0,04
13 Ciudad Real	De 10 a 14 años	1976	0
13 Ciudad Real	De 10 a 14 años	1975	0
13 Ciudad Real	De 15 a 19 años	2023	6,18
13 Ciudad Real	De 15 a 19 años	2022	8,64
13 Ciudad Real	De 15 a 19 años	2021	7,73
13 Ciudad Real	De 15 a 19 años	2020	7,71
13 Ciudad Real	De 15 a 19 años	2019	7,3
13 Ciudad Real	De 15 a 19 años	2018	8
13 Ciudad Real	De 15 a 19 años	2017	9,35
13 Ciudad Real	De 15 a 19 años	2016	9,07
13 Ciudad Real	De 15 a 19 años	2015	9,77
13 Ciudad Real	De 15 a 19 años	2014	7,5
13 Ciudad Real	De 15 a 19 años	2013	9,39
13 Ciudad Real	De 15 a 19 años	2012	9,76
13 Ciudad Real	De 15 a 19 años	2011	9,07
13 Ciudad Real	De 15 a 19 años	2010	11,01
13 Ciudad Real	De 15 a 19 años	2009	11,83
13 Ciudad Real	De 15 a 19 años	2008	12,8
13 Ciudad Real	De 15 a 19 años	2007	11,56
13 Ciudad Real	De 15 a 19 años	2006	11,86
13 Ciudad Real	De 15 a 19 años	2005	8,46
13 Ciudad Real	De 15 a 19 años	2004	10,11
13 Ciudad Real	De 15 a 19 años	2003	8,96
13 Ciudad Real	De 15 a 19 años	2002	8,53
13 Ciudad Real	De 15 a 19 años	2001	7,94
13 Ciudad Real	De 15 a 19 años	2000	7,5
13 Ciudad Real	De 15 a 19 años	1999	7,81
13 Ciudad Real	De 15 a 19 años	1998	8,16
13 Ciudad Real	De 15 a 19 años	1997	7,33
13 Ciudad Real	De 15 a 19 años	1996	7,17
13 Ciudad Real	De 15 a 19 años	1995	9,12
13 Ciudad Real	De 15 a 19 años	1994	9,62
13 Ciudad Real	De 15 a 19 años	1993	9,8
13 Ciudad Real	De 15 a 19 años	1992	10,11
13 Ciudad Real	De 15 a 19 años	1991	10,24
13 Ciudad Real	De 15 a 19 años	1990	11,77
13 Ciudad Real	De 15 a 19 años	1989	13,37
13 Ciudad Real	De 15 a 19 años	1988	14,36
13 Ciudad Real	De 15 a 19 años	1987	12,56
13 Ciudad Real	De 15 a 19 años	1986	14,1
13 Ciudad Real	De 15 a 19 años	1985	14,19
13 Ciudad Real	De 15 a 19 años	1984	14,06
13 Ciudad Real	De 15 a 19 años	1983	14,07
13 Ciudad Real	De 15 a 19 años	1982	12,11
13 Ciudad Real	De 15 a 19 años	1981	13,87
13 Ciudad Real	De 15 a 19 años	1980	12,76
13 Ciudad Real	De 15 a 19 años	1979	11,7
13 Ciudad Real	De 15 a 19 años	1978	11,72
13 Ciudad Real	De 15 a 19 años	1977	10,57
13 Ciudad Real	De 15 a 19 años	1976	9,54
13 Ciudad Real	De 15 a 19 años	1975	9,33
13 Ciudad Real	De 20 a 24 años	2023	20
13 Ciudad Real	De 20 a 24 años	2022	19,53
13 Ciudad Real	De 20 a 24 años	2021	20,1
13 Ciudad Real	De 20 a 24 años	2020	20,13
13 Ciudad Real	De 20 a 24 años	2019	21,91
13 Ciudad Real	De 20 a 24 años	2018	20,5
13 Ciudad Real	De 20 a 24 años	2017	24,13
13 Ciudad Real	De 20 a 24 años	2016	21,74
13 Ciudad Real	De 20 a 24 años	2015	22,79
13 Ciudad Real	De 20 a 24 años	2014	24,86
13 Ciudad Real	De 20 a 24 años	2013	23,01
13 Ciudad Real	De 20 a 24 años	2012	26,3
13 Ciudad Real	De 20 a 24 años	2011	26,71
13 Ciudad Real	De 20 a 24 años	2010	31,12
13 Ciudad Real	De 20 a 24 años	2009	33,24
13 Ciudad Real	De 20 a 24 años	2008	39,46
13 Ciudad Real	De 20 a 24 años	2007	33,34
13 Ciudad Real	De 20 a 24 años	2006	30,94
13 Ciudad Real	De 20 a 24 años	2005	33
13 Ciudad Real	De 20 a 24 años	2004	28,13
13 Ciudad Real	De 20 a 24 años	2003	27,14
13 Ciudad Real	De 20 a 24 años	2002	27,82
13 Ciudad Real	De 20 a 24 años	2001	26,37
13 Ciudad Real	De 20 a 24 años	2000	24,29
13 Ciudad Real	De 20 a 24 años	1999	28,87
13 Ciudad Real	De 20 a 24 años	1998	28,96
13 Ciudad Real	De 20 a 24 años	1997	31,91
13 Ciudad Real	De 20 a 24 años	1996	34,76
13 Ciudad Real	De 20 a 24 años	1995	37,88
13 Ciudad Real	De 20 a 24 años	1994	45,31
13 Ciudad Real	De 20 a 24 años	1993	53,08
13 Ciudad Real	De 20 a 24 años	1992	60,47
13 Ciudad Real	De 20 a 24 años	1991	58,4
13 Ciudad Real	De 20 a 24 años	1990	63,76
13 Ciudad Real	De 20 a 24 años	1989	69,32
13 Ciudad Real	De 20 a 24 años	1988	71,58
13 Ciudad Real	De 20 a 24 años	1987	76,58
13 Ciudad Real	De 20 a 24 años	1986	74,39
13 Ciudad Real	De 20 a 24 años	1985	84,84
13 Ciudad Real	De 20 a 24 años	1984	92,06
13 Ciudad Real	De 20 a 24 años	1983	95,3
13 Ciudad Real	De 20 a 24 años	1982	103,34
13 Ciudad Real	De 20 a 24 años	1981	108,76
13 Ciudad Real	De 20 a 24 años	1980	113,36
13 Ciudad Real	De 20 a 24 años	1979	113,16
13 Ciudad Real	De 20 a 24 años	1978	115,56
13 Ciudad Real	De 20 a 24 años	1977	107,12
13 Ciudad Real	De 20 a 24 años	1976	108,68
13 Ciudad Real	De 20 a 24 años	1975	101,03
13 Ciudad Real	De 25 a 29 años	2023	43,94
13 Ciudad Real	De 25 a 29 años	2022	43,8
13 Ciudad Real	De 25 a 29 años	2021	46,1
13 Ciudad Real	De 25 a 29 años	2020	49,68
13 Ciudad Real	De 25 a 29 años	2019	47,17
13 Ciudad Real	De 25 a 29 años	2018	47,34
13 Ciudad Real	De 25 a 29 años	2017	55,66
13 Ciudad Real	De 25 a 29 años	2016	55,43
13 Ciudad Real	De 25 a 29 años	2015	53,76
13 Ciudad Real	De 25 a 29 años	2014	53,49
13 Ciudad Real	De 25 a 29 años	2013	57,37
13 Ciudad Real	De 25 a 29 años	2012	62,03
13 Ciudad Real	De 25 a 29 años	2011	66,37
13 Ciudad Real	De 25 a 29 años	2010	68,71
13 Ciudad Real	De 25 a 29 años	2009	72,41
13 Ciudad Real	De 25 a 29 años	2008	75,54
13 Ciudad Real	De 25 a 29 años	2007	68,3
13 Ciudad Real	De 25 a 29 años	2006	75,58
13 Ciudad Real	De 25 a 29 años	2005	71,76
13 Ciudad Real	De 25 a 29 años	2004	74,86
13 Ciudad Real	De 25 a 29 años	2003	72,32
13 Ciudad Real	De 25 a 29 años	2002	75,5
13 Ciudad Real	De 25 a 29 años	2001	79,31
13 Ciudad Real	De 25 a 29 años	2000	85,53
13 Ciudad Real	De 25 a 29 años	1999	85,38
13 Ciudad Real	De 25 a 29 años	1998	88,39
13 Ciudad Real	De 25 a 29 años	1997	98,43
13 Ciudad Real	De 25 a 29 años	1996	100,42
13 Ciudad Real	De 25 a 29 años	1995	107,71
13 Ciudad Real	De 25 a 29 años	1994	113,46
13 Ciudad Real	De 25 a 29 años	1993	117,37
13 Ciudad Real	De 25 a 29 años	1992	122,39
13 Ciudad Real	De 25 a 29 años	1991	130,18
13 Ciudad Real	De 25 a 29 años	1990	129,04
13 Ciudad Real	De 25 a 29 años	1989	135,5
13 Ciudad Real	De 25 a 29 años	1988	134,28
13 Ciudad Real	De 25 a 29 años	1987	133,58
13 Ciudad Real	De 25 a 29 años	1986	142,62
13 Ciudad Real	De 25 a 29 años	1985	139,49
13 Ciudad Real	De 25 a 29 años	1984	143,77
13 Ciudad Real	De 25 a 29 años	1983	160,8
13 Ciudad Real	De 25 a 29 años	1982	163,47
13 Ciudad Real	De 25 a 29 años	1981	163,12
13 Ciudad Real	De 25 a 29 años	1980	163,73
13 Ciudad Real	De 25 a 29 años	1979	171,04
13 Ciudad Real	De 25 a 29 años	1978	170,59
13 Ciudad Real	De 25 a 29 años	1977	170,13
13 Ciudad Real	De 25 a 29 años	1976	171,02
13 Ciudad Real	De 25 a 29 años	1975	171,87
13 Ciudad Real	De 30 a 34 años	2023	81,43
13 Ciudad Real	De 30 a 34 años	2022	83,59
13 Ciudad Real	De 30 a 34 años	2021	87,76
13 Ciudad Real	De 30 a 34 años	2020	84,03
13 Ciudad Real	De 30 a 34 años	2019	86,14
13 Ciudad Real	De 30 a 34 años	2018	89,53
13 Ciudad Real	De 30 a 34 años	2017	92,74
13 Ciudad Real	De 30 a 34 años	2016	94,08
13 Ciudad Real	De 30 a 34 años	2015	97,24
13 Ciudad Real	De 30 a 34 años	2014	91,93
13 Ciudad Real	De 30 a 34 años	2013	97,4
13 Ciudad Real	De 30 a 34 años	2012	102,34
13 Ciudad Real	De 30 a 34 años	2011	100,8
13 Ciudad Real	De 30 a 34 años	2010	99,68
13 Ciudad Real	De 30 a 34 años	2009	101,05
13 Ciudad Real	De 30 a 34 años	2008	107,52
13 Ciudad Real	De 30 a 34 años	2007	102,33
13 Ciudad Real	De 30 a 34 años	2006	105,4
13 Ciudad Real	De 30 a 34 años	2005	103,74
13 Ciudad Real	De 30 a 34 años	2004	101,63
13 Ciudad Real	De 30 a 34 años	2003	96,3
13 Ciudad Real	De 30 a 34 años	2002	92,54
13 Ciudad Real	De 30 a 34 años	2001	93,54
13 Ciudad Real	De 30 a 34 años	2000	91,18
13 Ciudad Real	De 30 a 34 años	1999	87,05
13 Ciudad Real	De 30 a 34 años	1998	88,55
13 Ciudad Real	De 30 a 34 años	1997	86,59
13 Ciudad Real	De 30 a 34 años	1996	85,32
13 Ciudad Real	De 30 a 34 años	1995	88,61
13 Ciudad Real	De 30 a 34 años	1994	90,82
13 Ciudad Real	De 30 a 34 años	1993	89,66
13 Ciudad Real	De 30 a 34 años	1992	86,13
13 Ciudad Real	De 30 a 34 años	1991	90,29
13 Ciudad Real	De 30 a 34 años	1990	88,54
13 Ciudad Real	De 30 a 34 años	1989	87,9
13 Ciudad Real	De 30 a 34 años	1988	87,82
13 Ciudad Real	De 30 a 34 años	1987	86,77
13 Ciudad Real	De 30 a 34 años	1986	87,95
13 Ciudad Real	De 30 a 34 años	1985	91,68
13 Ciudad Real	De 30 a 34 años	1984	95,06
13 Ciudad Real	De 30 a 34 años	1983	95,26
13 Ciudad Real	De 30 a 34 años	1982	97,62
13 Ciudad Real	De 30 a 34 años	1981	105,15
13 Ciudad Real	De 30 a 34 años	1980	108,92
13 Ciudad Real	De 30 a 34 años	1979	110,72
13 Ciudad Real	De 30 a 34 años	1978	112,99
13 Ciudad Real	De 30 a 34 años	1977	116,21
13 Ciudad Real	De 30 a 34 años	1976	122,83
13 Ciudad Real	De 30 a 34 años	1975	124,73
13 Ciudad Real	De 35 a 39 años	2023	61,85
13 Ciudad Real	De 35 a 39 años	2022	64,24
13 Ciudad Real	De 35 a 39 años	2021	66,02
13 Ciudad Real	De 35 a 39 años	2020	60,3
13 Ciudad Real	De 35 a 39 años	2019	63,5
13 Ciudad Real	De 35 a 39 años	2018	63,48
13 Ciudad Real	De 35 a 39 años	2017	61,05
13 Ciudad Real	De 35 a 39 años	2016	66,23
13 Ciudad Real	De 35 a 39 años	2015	61,69
13 Ciudad Real	De 35 a 39 años	2014	56,09
13 Ciudad Real	De 35 a 39 años	2013	59,44
13 Ciudad Real	De 35 a 39 años	2012	58,56
13 Ciudad Real	De 35 a 39 años	2011	60,7
13 Ciudad Real	De 35 a 39 años	2010	57,95
13 Ciudad Real	De 35 a 39 años	2009	53,35
13 Ciudad Real	De 35 a 39 años	2008	55,1
13 Ciudad Real	De 35 a 39 años	2007	48,74
13 Ciudad Real	De 35 a 39 años	2006	48,33
13 Ciudad Real	De 35 a 39 años	2005	46,68
13 Ciudad Real	De 35 a 39 años	2004	42,13
13 Ciudad Real	De 35 a 39 años	2003	41,15
13 Ciudad Real	De 35 a 39 años	2002	36,55
13 Ciudad Real	De 35 a 39 años	2001	37,29
13 Ciudad Real	De 35 a 39 años	2000	35,11
13 Ciudad Real	De 35 a 39 años	1999	38,06
13 Ciudad Real	De 35 a 39 años	1998	33,99
13 Ciudad Real	De 35 a 39 años	1997	34,03
13 Ciudad Real	De 35 a 39 años	1996	32,66
13 Ciudad Real	De 35 a 39 años	1995	33,65
13 Ciudad Real	De 35 a 39 años	1994	33,27
13 Ciudad Real	De 35 a 39 años	1993	34,03
13 Ciudad Real	De 35 a 39 años	1992	34,67
13 Ciudad Real	De 35 a 39 años	1991	37,48
13 Ciudad Real	De 35 a 39 años	1990	38,42
13 Ciudad Real	De 35 a 39 años	1989	35,37
13 Ciudad Real	De 35 a 39 años	1988	37,89
13 Ciudad Real	De 35 a 39 años	1987	38,4
13 Ciudad Real	De 35 a 39 años	1986	39,93
13 Ciudad Real	De 35 a 39 años	1985	39,67
13 Ciudad Real	De 35 a 39 años	1984	47,06
13 Ciudad Real	De 35 a 39 años	1983	46,38
13 Ciudad Real	De 35 a 39 años	1982	51,49
13 Ciudad Real	De 35 a 39 años	1981	54,53
13 Ciudad Real	De 35 a 39 años	1980	54,51
13 Ciudad Real	De 35 a 39 años	1979	58,08
13 Ciudad Real	De 35 a 39 años	1978	58,38
13 Ciudad Real	De 35 a 39 años	1977	59,81
13 Ciudad Real	De 35 a 39 años	1976	64,45
13 Ciudad Real	De 35 a 39 años	1975	68,58
13 Ciudad Real	De 40 a 44 años	2023	16,07
13 Ciudad Real	De 40 a 44 años	2022	16,29
13 Ciudad Real	De 40 a 44 años	2021	15,72
13 Ciudad Real	De 40 a 44 años	2020	12,95
13 Ciudad Real	De 40 a 44 años	2019	13,87
13 Ciudad Real	De 40 a 44 años	2018	12,68
13 Ciudad Real	De 40 a 44 años	2017	13,83
13 Ciudad Real	De 40 a 44 años	2016	15,12
13 Ciudad Real	De 40 a 44 años	2015	12,59
13 Ciudad Real	De 40 a 44 años	2014	12,06
13 Ciudad Real	De 40 a 44 años	2013	12,01
13 Ciudad Real	De 40 a 44 años	2012	10,62
13 Ciudad Real	De 40 a 44 años	2011	10,04
13 Ciudad Real	De 40 a 44 años	2010	10,07
13 Ciudad Real	De 40 a 44 años	2009	9,87
13 Ciudad Real	De 40 a 44 años	2008	9,73
13 Ciudad Real	De 40 a 44 años	2007	8,81
13 Ciudad Real	De 40 a 44 años	2006	8,52
13 Ciudad Real	De 40 a 44 años	2005	7,22
13 Ciudad Real	De 40 a 44 años	2004	8,24
13 Ciudad Real	De 40 a 44 años	2003	8,68
13 Ciudad Real	De 40 a 44 años	2002	7
13 Ciudad Real	De 40 a 44 años	2001	7,42
13 Ciudad Real	De 40 a 44 años	2000	7,48
13 Ciudad Real	De 40 a 44 años	1999	6,53
13 Ciudad Real	De 40 a 44 años	1998	6,21
13 Ciudad Real	De 40 a 44 años	1997	6,28
13 Ciudad Real	De 40 a 44 años	1996	5,71
13 Ciudad Real	De 40 a 44 años	1995	6,9
13 Ciudad Real	De 40 a 44 años	1994	7,49
13 Ciudad Real	De 40 a 44 años	1993	6,71
13 Ciudad Real	De 40 a 44 años	1992	8,35
13 Ciudad Real	De 40 a 44 años	1991	8,19
13 Ciudad Real	De 40 a 44 años	1990	8,83
13 Ciudad Real	De 40 a 44 años	1989	8,99
13 Ciudad Real	De 40 a 44 años	1988	9,87
13 Ciudad Real	De 40 a 44 años	1987	10,86
13 Ciudad Real	De 40 a 44 años	1986	11,24
13 Ciudad Real	De 40 a 44 años	1985	14,6
13 Ciudad Real	De 40 a 44 años	1984	14,29
13 Ciudad Real	De 40 a 44 años	1983	14,15
13 Ciudad Real	De 40 a 44 años	1982	14,33
13 Ciudad Real	De 40 a 44 años	1981	16,82
13 Ciudad Real	De 40 a 44 años	1980	15,73
13 Ciudad Real	De 40 a 44 años	1979	17,73
13 Ciudad Real	De 40 a 44 años	1978	18,54
13 Ciudad Real	De 40 a 44 años	1977	19,74
13 Ciudad Real	De 40 a 44 años	1976	24,35
13 Ciudad Real	De 40 a 44 años	1975	26,8
13 Ciudad Real	De 45 a 49 años	2023	1,41
13 Ciudad Real	De 45 a 49 años	2022	0,92
13 Ciudad Real	De 45 a 49 años	2021	0,65
13 Ciudad Real	De 45 a 49 años	2020	0,76
13 Ciudad Real	De 45 a 49 años	2019	1,24
13 Ciudad Real	De 45 a 49 años	2018	0,9
13 Ciudad Real	De 45 a 49 años	2017	0,99
13 Ciudad Real	De 45 a 49 años	2016	0,93
13 Ciudad Real	De 45 a 49 años	2015	0,97
13 Ciudad Real	De 45 a 49 años	2014	0,61
13 Ciudad Real	De 45 a 49 años	2013	0,45
13 Ciudad Real	De 45 a 49 años	2012	0,66
13 Ciudad Real	De 45 a 49 años	2011	0,31
13 Ciudad Real	De 45 a 49 años	2010	0,62
13 Ciudad Real	De 45 a 49 años	2009	0,58
13 Ciudad Real	De 45 a 49 años	2008	0,59
13 Ciudad Real	De 45 a 49 años	2007	0,49
13 Ciudad Real	De 45 a 49 años	2006	0,4
13 Ciudad Real	De 45 a 49 años	2005	0,24
13 Ciudad Real	De 45 a 49 años	2004	0,39
13 Ciudad Real	De 45 a 49 años	2003	0,42
13 Ciudad Real	De 45 a 49 años	2002	0,51
13 Ciudad Real	De 45 a 49 años	2001	0,38
13 Ciudad Real	De 45 a 49 años	2000	0,32
13 Ciudad Real	De 45 a 49 años	1999	0,4
13 Ciudad Real	De 45 a 49 años	1998	0,32
13 Ciudad Real	De 45 a 49 años	1997	0,24
13 Ciudad Real	De 45 a 49 años	1996	0,24
13 Ciudad Real	De 45 a 49 años	1995	0,4
13 Ciudad Real	De 45 a 49 años	1994	0,4
13 Ciudad Real	De 45 a 49 años	1993	0,57
13 Ciudad Real	De 45 a 49 años	1992	0,58
13 Ciudad Real	De 45 a 49 años	1991	0,6
13 Ciudad Real	De 45 a 49 años	1990	0,51
13 Ciudad Real	De 45 a 49 años	1989	1,02
13 Ciudad Real	De 45 a 49 años	1988	1,24
13 Ciudad Real	De 45 a 49 años	1987	1,14
13 Ciudad Real	De 45 a 49 años	1986	0,49
13 Ciudad Real	De 45 a 49 años	1985	1,26
13 Ciudad Real	De 45 a 49 años	1984	1,21
13 Ciudad Real	De 45 a 49 años	1983	0,97
13 Ciudad Real	De 45 a 49 años	1982	1,32
13 Ciudad Real	De 45 a 49 años	1981	0,78
13 Ciudad Real	De 45 a 49 años	1980	1,84
13 Ciudad Real	De 45 a 49 años	1979	2,02
13 Ciudad Real	De 45 a 49 años	1978	1,5
13 Ciudad Real	De 45 a 49 años	1977	2,49
13 Ciudad Real	De 45 a 49 años	1976	2,4
13 Ciudad Real	De 45 a 49 años	1975	2,46
13 Ciudad Real	50 y más años	2023	0,27
13 Ciudad Real	50 y más años	2022	0,54
13 Ciudad Real	50 y más años	2021	0
13 Ciudad Real	50 y más años	2020	0,26
13 Ciudad Real	50 y más años	2019	0,79
13 Ciudad Real	50 y más años	2018	0,26
13 Ciudad Real	50 y más años	2017	0,26
13 Ciudad Real	50 y más años	2016	0
13 Ciudad Real	50 y más años	2015	0
13 Ciudad Real	50 y más años	2014	0
13 Ciudad Real	50 y más años	2013	0
13 Ciudad Real	50 y más años	2012	0,8
13 Ciudad Real	50 y más años	2011	0,26
13 Ciudad Real	50 y más años	2010	0,54
13 Ciudad Real	50 y más años	2009	0,56
13 Ciudad Real	50 y más años	2008	0
13 Ciudad Real	50 y más años	2007	0
13 Ciudad Real	50 y más años	2006	0,36
13 Ciudad Real	50 y más años	2005	0
13 Ciudad Real	50 y más años	2004	0
13 Ciudad Real	50 y más años	2003	0
13 Ciudad Real	50 y más años	2002	0
13 Ciudad Real	50 y más años	2001	0
13 Ciudad Real	50 y más años	2000	0
13 Ciudad Real	50 y más años	1999	0
13 Ciudad Real	50 y más años	1998	0
13 Ciudad Real	50 y más años	1997	0
13 Ciudad Real	50 y más años	1996	0,42
13 Ciudad Real	50 y más años	1995	0,8
13 Ciudad Real	50 y más años	1994	0
13 Ciudad Real	50 y más años	1993	0
13 Ciudad Real	50 y más años	1992	0
13 Ciudad Real	50 y más años	1991	0
13 Ciudad Real	50 y más años	1990	0
13 Ciudad Real	50 y más años	1989	0
13 Ciudad Real	50 y más años	1988	0,4
13 Ciudad Real	50 y más años	1987	0
13 Ciudad Real	50 y más años	1986	0,69
13 Ciudad Real	50 y más años	1985	1,02
13 Ciudad Real	50 y más años	1984	0,32
13 Ciudad Real	50 y más años	1983	0,32
13 Ciudad Real	50 y más años	1982	1,3
13 Ciudad Real	50 y más años	1981	1,26
13 Ciudad Real	50 y más años	1980	0
13 Ciudad Real	50 y más años	1979	0
13 Ciudad Real	50 y más años	1978	0
13 Ciudad Real	50 y más años	1977	0,92
13 Ciudad Real	50 y más años	1976	0,63
13 Ciudad Real	50 y más años	1975	0,65
14 Córdoba	De 10 a 14 años	2023	0,16
14 Córdoba	De 10 a 14 años	2022	0,05
